"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7614","Finalizado","","2026-05-18","passed","2026-05-18","","WhatsApp - Enviar mensagem de teste","",""
"","6573","Deve navegar para Configurações.","","2026-05-18","passed","2026-05-18","","Navegação e URLs","",""
"","21005","Deve cadastrar um serviço E2E com atendentes aleatórios.","","2026-05-18","passed","2026-05-18","","Serviços - Cadastro","",""
"","567","Deve abrir a página inicial do sistema.","","2026-05-18","passed","2026-05-18","","SG Agenda Admin - Login","",""
"","109892","Deve alternar entre DIA, SEMANA e MÊS várias vezes sem quebrar","","2026-05-18","passed","2026-05-18","","Agenda Crítica - Stress de navegação","",""
"","51737","Não deve permitir dois agendamentos no mesmo horário para o mesmo atendente","","2026-05-18","passed","2026-05-18","","Agenda Crítica - Conflito de horário","",""
"","6825","Deve navegar para Planos.","","2026-05-18","passed","2026-05-18","","Navegação e URLs","",""
"","41123","Não deve criar agendamento duplicado ao clicar duas vezes em Gravar.","","2026-05-18","passed","2026-05-18","","Agenda Crítica - Concorrência por duplo clique no Gravar","",""
"","92862","Deve abrir vários detalhes em sequência sem travar ou misturar dados","","2026-05-18","passed","2026-05-18","","Agenda Crítica - Múltiplos detalhes","",""
"","6532","Deve navegar para Comissões.","","2026-05-18","passed","2026-05-18","","Navegação e URLs","",""
"","10052","Deve iniciar reconexão do WhatsApp quando estiver desconectado.","","2026-05-18","passed","2026-05-18","","WhatsApp - Teste de conexão","",""
"","7065","Deve navegar para Dashboard.","","2026-05-18","passed","2026-05-18","","Navegação e URLs","",""
"","7224","Deve exibir o status atual da conexão do WhatsApp.","","2026-05-18","passed","2026-05-18","","WhatsApp - Teste de conexão","",""
"","21367","Deve cadastrar usuário, empresa e configuração inicial do site.","","2026-05-18","passed","2026-05-18","","Cadastro completo - Usuário e empresa","",""
"","12011","Deve alternar DIA, SEMANA e MÊS mesmo com rede lenta.","","2026-05-18","passed","2026-05-18","","Agenda Crítica - Rede lenta","",""
"","6644","Deve navegar para Produtos.","","2026-05-18","passed","2026-05-18","","Navegação e URLs","",""
"","9116","Deve cadastrar um produto E2E com nome aleatório.","","2026-05-18","passed","2026-05-18","","Produtos - Cadastro","",""
"","6620","Deve navegar para Categorias.","","2026-05-18","passed","2026-05-18","","Navegação e URLs","",""
"","18957","Deve contratar um plano para um cliente aleatório.","","2026-05-18","passed","2026-05-18","","Clientes - Contratar plano","",""
"","25560","Deve criar agendamento pela tela e validar resposta da API","","2026-05-18","passed","2026-05-18","","Agenda Crítica - Validação API criação de agendamento","",""
"","7078","Deve abrir a agenda mesmo com rede lenta.","","2026-05-18","passed","2026-05-18","","Agenda Crítica - Rede lenta","",""
"","6515","Deve navegar para Atendentes.","","2026-05-18","passed","2026-05-18","","Navegação e URLs","",""
"","7285","Deve abrir cadastro de agendamento mesmo com rede lenta.","","2026-05-18","passed","2026-05-18","","Agenda Crítica - Rede lenta","",""
"","32050","Deve abrir detalhes de agendamentos em sequência sem misturar dados ou travar","","2026-05-18","passed","2026-05-18","","Agenda Crítica - Stress de navegação","",""
"","33310","deve cadastrar um agendamento E2E com horário futuro","","2026-05-18","passed","2026-05-18","","Agendamentos - Cadastro","",""
"","26604","Deve cadastrar usuário, empresa do Paraguai e configuração inicial do site.","","2026-05-18","passed","2026-05-18","","Cadastro completo - Usuário e empresa Paraguai","",""
"","6593","Deve navegar para Serviços.","","2026-05-18","passed","2026-05-18","","Navegação e URLs","",""
"","10678","deve percorrer o mês até encontrar um agendamento Criado e finalizar","","2026-05-18","passed","2026-05-18","","Agendamentos - Finalizar agendamento criado no mês","",""
"","36265","Deve cadastrar um agendamento E2E com horário futuro.","","2026-05-18","passed","2026-05-18","","Agendamentos - Cadastro","",""
"","18318","Deve cadastrar um plano E2E com serviço prestado.","","2026-05-18","passed","2026-05-18","","Planos - Cadastro","",""
"","9049","Deve tentar fazer login e mostrar a tela após o clique.","","2026-05-18","passed","2026-05-18","","Debug Login","",""
"","17164","Deve cadastrar um cliente E2E com endereço principal.","","2026-05-18","passed","2026-05-18","","Clientes - Cadastro","",""
"","59731","Deve criar agendamento pelo Painel do Cliente usando a URL da personalização.","","2026-05-18","passed","2026-05-18","","Painel do Cliente - Criar agendamento","",""
"","6739","Deve navegar para Agenda.","","2026-05-18","passed","2026-05-18","","Navegação e URLs","",""
